section,heading,xpath,auth_file,auth_section,auth_col,separator,comment
metadata,binding UID,"//tei:binding/concat(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""msID""], ""_binding_"", count(preceding::tei:binding) + 1)",,,,,"A unique identifier for the binding, generated by concatenating the identifier given to the manuscript with which the binding is associated with a count of how many binding elements precede the current element in the entry file. In most cases, there is only one binding per manuscript."
metadata,file URL,"//tei:binding/string-join(ancestor::tei:TEI/@xml:id, "" "")",,,,,"Unique identifier for the catalogue file, given in the xml:id attribute to the TEI root element."
metadata,collection,"//tei:binding/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""collection""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The collection in which the manuscript is recorded, given in an idno element within the publicationStmt element which has @type ""collection"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,msID,"//tei:binding/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""msID""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The identifier given to the manuscript with which the binding is associated, given in an idno element within the publicationStmt element which has @type ""msID"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,shelfmark,"//tei:binding/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier/tei:idno[@type=""shelfmark""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The shelfmark given to the manuscript with which the binding is associated, given in an idno element within the publicationStmt element which has @type ""shelfmark"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
overview,binding,"//tei:binding/normalize-space(string-join(*[not(self::tei:condition or self::tei:decoNote)]/string-join(.,""""), ""; ""))",,,,,"Details of the binding as given in the binding element within the binding description, excluding details of the binding's condition and any decoration, which are given in columns BH and BJ respectively."
overview,condition,"//tei:binding/string-join(tei:condition/string-join(.,""""), ""; "")",,,,,Details of the condition of the binding as given in the condition element within the binding description.
overview,decoration,"//tei:binding/string-join(tei:decoNote/string-join(.,""""), ""; "")",,,,,Details of any decoration to the binding as given in decoNote elements within the binding description.
date,contemporary,"//tei:binding/string-join(@contemporary, "" "")",,,,,"A boolean (true/false) value expressing whether or not the binding is contemporary with the manuscript or manuscript part itself, as encoded within the @contemporary attribute to the binding element within the binding description."
date,not after,"//tei:binding/string-join(@notAfter, "" "")",,,,,"The date before which the binding was produced, formatted as a date, as encoded within the @notAfter element of the binding element within the binding description."
date,not before,"//tei:binding/string-join(@notBefore, "" "")",,,,,"The date after which the binding was produced, formatted as a date, as encoded within the @notBefore element of the binding element within the binding description."
dimensions,height,"//tei:binding/string-join(ancestor::tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:height[not(@quantity)]|tei:height[@quantity]/@quantity), "" "")",,,,,"The height of the binding, as encoded within the height element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
