metadata: hand UID,metadata: file URL,metadata: collection,metadata: msID,metadata: shelfmark,metadata: part,metadata: part ID,metadata: part type,overview: hands,overview: total hands,person: scribe ref,person: hand n,person: hand ID,person: person(s),person: person ID(s),locus: scope,locus: loci,locus: locus,locus: from,locus: to,date: date,date: when,date: notAfter,date: notBefore,date: calendar,palaeography: script,palaeography: execution,palaeography: medium,palaeography: terms,palaeography: desc,palaeography: char,palaeography: characters,palaeography: ligature,palaeography: abbreviations,palaeography: corrections,palaeography: punctuation,palaeography: nota,palaeography: language
_hand_1,manuscript_9955,,,MS. Egypt. a. 1 (P),,,,"Likely written by one scribe; all in black ink, except for rubrics in red ink",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
_hand_1,manuscript_10219,Merton_College,,Merton College MS. 121,,Merton_College_MS_121,,Written throughout by a Continental scribe in a neat archaizing bookhand.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Arch_A_f_131_hand_1,manuscript_9983,fragments_in_printed_books,Arch_A_f_131,"Arch. A f. 131, wrapper",,MS_Lat_th_d_24,,Insular minuscule.,,,,,,,major,0,,,,,,,,,minusculeInsular,,,,,,,,,,,,
Arch_A_f_131_hand_2,manuscript_9983,fragments_in_printed_books,Arch_A_f_131,"Arch. A f. 131, wrapper",,MS_Lat_th_d_24,,Gloss in Anglo-Caroline.,,,,,,,minor,0,,,,,,,,,minusculeCaroline,,,,,,,,,,,,
Auct_P_41_upper_and_lower_boards_and_spine_hand_1,manuscript_10019,fragments_in_printed_books,Auct_P_41_upper_and_lower_boards_and_spine,"Auct. P 4.1, upper and lower boards and spine",,Auct_P_41_upper_and_lower_boards_and_spine,,A late-medieval Textualis formata (Northern Textualis formata).,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Brasenose_College_MS_1_hand_1,manuscript_14119,Brasenose College,Brasenose_College_MS_1,Brasenose College MS. 1,,Brasenose_College_MS_1,,Dark brown ink; gothic bookhand,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Brasenose_College_MS_5_hand_1,manuscript_14103,Brasenose College,Brasenose_College_MS_5,Brasenose College MS. 5,,Brasenose_College_MS_5,,Brown ink in gothic bookhand.,,,,,,,,0,,,,,,,,,textualisNorthern,,,,,,,,,,,,
Brasenose_College_MS_7_hand_1,manuscript_14120,Brasenose College,Brasenose_College_MS_7,Brasenose College MS. 7,,Brasenose_College_MS_7,,Written in dark brown ink in a cursive gothic bookhand.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Brasenose_College_MS_10_hand_1,manuscript_14107,Brasenose College,Brasenose_College_MS_10,Brasenose College MS. 10,,Brasenose_College_MS_10,,Textura.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Brasenose_College_MS_13_hand_1,manuscript_14121,Brasenose College,Brasenose_College_MS_13,Brasenose College MS. 13,,Brasenose_College_MS_13,,Written in dark brown ink by various hands,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Brasenose_College_MS_15_hand_1,manuscript_14111,Brasenose College,Brasenose_College_MS_15,Brasenose College MS. 15,,Brasenose_College_MS_15,,"Brown ink, headings in red.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Brasenose_College_MS_17_hand_1,manuscript_14113,Brasenose College,Brasenose_College_MS_17,Brasenose College MS. 17,,Brasenose_College_MS_17,,"Small and precise secretary hand in brown ink, with decoration in red, green and blue ink",,,,,,,,0,,,,,,,,,cursiva,,,,,,,,,,,,
Brasenose_College_MS_24_hand_1,manuscript_14116,Brasenose College,Brasenose_College_MS_24,Brasenose College MS. 24,,Brasenose_College_MS_24,,Brown ink.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Brasenose_College_MS_24_hand_2,manuscript_14116,Brasenose College,Brasenose_College_MS_24,Brasenose College MS. 24,Brasenose College MS. 24 - pastedowns (lifted),MS-Brasenose-24-pastedowns,,Current anglicana,,,,,,,,0,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
Brasenose_College_MS_57_hand_1,manuscript_14123,Brasenose College,Brasenose_College_MS_57,Brasenose College MS. 57,,,,Written in low-grade gothic rotunda bookhand,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
